#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     37                25                3546              47.268            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     64                13                5588              44.457            2025         
GPU 0     2                 0                 6872              41.367            2025         
GPU 0     2                 0                 7572              41.394            2040         
GPU 0     38                25                3580              45.138            2025         
GPU 0     63                13                5608              42.512            2025         
GPU 0     2                 0                 6906              42.008            2025         
GPU 0     2                 0                 7522              40.922            1680         
GPU 0     41                26                3704              42.759            2025         
GPU 0     61                12                5662              43.513            2025         
GPU 0     2                 0                 6934              38.764            2025         
GPU 0     2                 0                 7376              38.827            2040         
GPU 0     42                26                3792              40.542            2025         
GPU 0     59                12                5696              38.759            2025         
GPU 0     2                 0                 6966              38.013            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 7282              38.122            2040         
GPU 0     43                26                3852              39.576            2025         
GPU 0     58                12                5734              38.335            2025         
GPU 0     2                 0                 6990              37.778            2025         
GPU 0     1                 0                 7148              37.805            2040         
GPU 0     45                27                3934              39.134            2025         
GPU 0     56                11                5782              38.101            2025         
GPU 0     2                 0                 7010              37.589            2025         
GPU 0     1                 0                 7032              37.636            2040         
GPU 0     46                27                3972              38.865            2025         
GPU 0     55                11                5800              37.932            2025         
GPU 0     2                 0                 7040              37.465            2040         
GPU 0     1                 0                 7218              37.474            1650         
GPU 0     44                26                3886              38.399            1335         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     57                11                5752              38.155            2025         
GPU 0     2                 0                 7008              37.573            2025         
GPU 0     1                 0                 7080              37.763            1830         
GPU 0     45                27                3932              38.446            1740         
GPU 0     56                11                5794              37.979            2025         
GPU 0     2                 0                 7046              37.513            2025         
GPU 0     1                 0                 6908              37.603            2040         
GPU 0     55                11                4028              37.791            2025         
GPU 0     2                 0                 5828              37.333            2025         
GPU 0     1                 0                 6874              37.423            2040         
GPU 0     47                27                4038              38.438            2025         
GPU 0     54                11                5842              37.547            2025         
GPU 0     2                 0                 7088              37.152            2025         
GPU 0     1                 0                 6680              37.403            1665         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     49                28                4140              38.399            2025         
GPU 0     52                10                5916              37.680            2025         
GPU 0     2                 0                 7156              37.385            2040         
GPU 0     1                 0                 6360              40.519            1665         
GPU 0     53                28                4272              41.498            1770         
GPU 0     49                9                 5978              40.671            2025         
GPU 0     2                 0                 7196              40.286            2040         
GPU 0     1                 0                 6150              44.361            1935         
GPU 0     55                29                4320              45.583            1920         
GPU 0     46                9                 5992              41.874            2025         
GPU 0     2                 0                 7208              41.443            2025         
GPU 0     1                 0                 6102              45.695            2040         
GPU 0     56                29                4400              48.448            2025         
GPU 0     46                9                 6042              43.924            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 7268              43.169            2025         
GPU 0     1                 0                 5744              47.964            1695         
GPU 0     59                30                4518              53.357            1530         
GPU 0     43                8                 6136              48.629            2025         
GPU 0     2                 0                 7344              46.379            2040         
GPU 0     1                 0                 5550              50.729            1875         
GPU 0     61                30                4480              55.665            1800         
GPU 0     41                7                 6084              50.324            2025         
GPU 0     2                 0                 7256              45.496            2040         
GPU 0     1                 0                 5888              50.227            1935         
GPU 0     57                29                4470              54.399            1890         
GPU 0     44                8                 6126              50.042            2025         
GPU 0     2                 0                 7334              45.168            2040         
GPU 0     1                 0                 5474              49.557            1995         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     62                30                4606              55.817            1980         
GPU 0     39                7                 6186              50.565            2025         
GPU 0     2                 0                 7382              46.913            2025         
GPU 0     1                 0                 5116              50.838            1665         
GPU 0     66                31                4762              53.732            1545         
GPU 0     36                6                 6324              48.861            2025         
GPU 0     2                 0                 7484              43.155            2040         
GPU 0     1                 0                 4606              45.018            1845         
GPU 0     71                32                4932              45.726            1770         
GPU 0     31                5                 6426              41.208            2025         
GPU 0     2                 0                 7568              38.862            2040         
GPU 0     2                 0                 4208              39.570            1980         
GPU 0     75                34                5052              39.983            1965         
GPU 0     26                4                 6500              37.536            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 7572              37.411            2040         
GPU 0     7                 0                 3858              38.012            1980         
GPU 0     74                34                5130              38.379            2010         
GPU 0     23                3                 6554              37.114            2025         
GPU 0     2                 0                 7572              37.276            2040         
GPU 0     10                3                 3616              39.364            2025         
GPU 0     73                32                5242              39.670            2010         
GPU 0     20                3                 6632              38.683            2025         
GPU 0     2                 0                 7572              38.872            2040         
GPU 0     16                7                 3674              43.201            2025         
GPU 0     70                28                5346              42.765            2025         
GPU 0     16                2                 6702              42.289            2025         
GPU 0     2                 0                 7418              41.813            2040         
GPU 0     1                 0                 7572              41.944            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     21                11                3674              43.326            2025         
GPU 0     64                24                5328              42.298            2025         
GPU 0     17                2                 6690              42.451            2025         
GPU 0     2                 0                 7572              42.471            2040         
GPU 0     20                10                3674              47.561            1995         
GPU 0     70                26                5406              46.311            1995         
GPU 0     13                2                 6758              44.949            2025         
GPU 0     2                 0                 7572              45.075            2040         
GPU 0     26                14                3674              50.117            2025         
GPU 0     71                22                5508              51.025            2025         
GPU 0     7                 1                 6840              46.828            2025         
GPU 0     2                 0                 7572              46.891            2040         
GPU 0     33                20                3548              51.445            2025         
GPU 0     68                18                5588              49.699            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     3                 0                 6876              43.574            2025         
GPU 0     2                 0                 7572              43.610            2040         
GPU 0     34                21                3582              47.848            2025         
GPU 0     67                17                5600              46.063            2025         
GPU 0     3                 0                 6888              42.660            2025         
GPU 0     2                 0                 7572              42.730            2040         
GPU 0     35                22                3634              46.971            2025         
GPU 0     66                15                5622              45.215            2025         
GPU 0     2                 0                 6908              42.420            2025         
GPU 0     2                 0                 7498              42.501            2040         
GPU 0     37                25                3740              46.441            2025         
GPU 0     63                13                5708              47.608            2025         
GPU 0     2                 0                 7002              41.369            2025         
GPU 0     2                 0                 7086              41.361            1665         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     42                26                3952              42.931            1590         
GPU 0     59                12                5800              39.415            2025         
GPU 0     2                 0                 7056              37.655            2025         
GPU 0     2                 0                 6814              37.754            1815         
GPU 0     45                27                4074              39.019            2025         
GPU 0     56                11                5876              37.906            2025         
GPU 0     2                 0                 7120              37.428            2040         
GPU 0     1                 0                 7370              37.455            2040         
GPU 0     0                 0                 5228              42.011            1905         
GPU 0     63                30                4716              47.723            1875         
GPU 0     39                7                 6278              47.159            2025         
GPU 0     2                 0                 7446              47.105            2040         
GPU 0     1                 0                 4848              50.799            1935         
GPU 0     67                32                4856              52.909            1920         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     35                6                 6330              48.127            2025         
GPU 0     2                 0                 7482              42.245            2040         
GPU 0     1                 0                 4668              45.600            1995         
GPU 0     69                32                4910              47.055            1995         
GPU 0     33                6                 6400              42.775            2025         
GPU 0     2                 0                 7542              40.953            2040         
GPU 0     1                 0                 4350              40.935            2025         
GPU 0     72                33                4962              42.945            2010         
GPU 0     30                5                 6428              39.062            2025         
GPU 0     1                 0                 7562              39.383            2025         
GPU 0     74                33                4220              39.932            1815         
GPU 0     29                5                 5022              37.985            2025         
GPU 0     2                 0                 7572              37.967            2040         
GPU 0     1                 0                 4104              38.927            1875         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     75                34                5096              39.376            1860         
GPU 0     27                4                 6512              37.646            2025         
GPU 0     2                 0                 7572              37.655            2040         
GPU 0     5                 0                 3744              38.266            1980         
GPU 0     75                34                5184              38.570            1965         
GPU 0     24                3                 6588              37.098            2025         
GPU 0     2                 0                 7572              37.179            2040         
GPU 0     9                 2                 3506              38.433            2010         
GPU 0     73                33                5268              38.764            2010         
GPU 0     21                3                 6656              37.650            2025         
GPU 0     2                 0                 7572              37.876            2040         
GPU 0     14                6                 3674              41.813            2025         
GPU 0     70                30                5326              41.355            2010         
GPU 0     19                2                 6710              40.334            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 7572              40.487            2040         
GPU 0     19                9                 3674              45.483            2025         
GPU 0     70                26                5430              44.922            2025         
GPU 0     14                2                 6770              43.970            2025         
GPU 0     2                 0                 7572              44.113            2040         
GPU 0     24                13                3674              49.436            2025         
GPU 0     70                24                5416              49.976            2025         
GPU 0     9                 1                 6750              46.501            2025         
GPU 0     2                 0                 7572              46.555            2040         
GPU 0     22                11                3674              51.879            2025         
GPU 0     70                25                5466              51.266            2025         
GPU 0     12                2                 6792              45.622            2025         
GPU 0     2                 0                 7572              45.685            2040         
GPU 0     25                14                3486              50.827            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     70                23                5536              51.287            2025         
GPU 0     8                 1                 6850              46.485            2025         
GPU 0     2                 0                 7572              46.551            2040         
GPU 0     30                16                3552              51.440            2025         
GPU 0     69                21                5576              52.828            2025         
GPU 0     4                 0                 6878              47.062            2025         
GPU 0     2                 0                 7572              47.045            2040         
GPU 0     31                18                3614              51.862            2025         
GPU 0     70                20                5626              52.031            2025         
GPU 0     3                 0                 6912              45.440            2025         
GPU 0     2                 0                 7512              45.395            2040         
GPU 0     34                21                3716              49.788            2025         
GPU 0     67                17                5686              47.795            2025         
GPU 0     3                 0                 6962              42.673            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 7280              42.745            2040         
GPU 0     38                25                3874              46.701            2025         
GPU 0     63                13                5770              47.715            2025         
GPU 0     2                 0                 7022              41.007            2025         
GPU 0     2                 0                 7056              41.017            1695         
GPU 0     40                26                3968              43.626            1545         
GPU 0     61                12                5810              40.379            2025         
GPU 0     2                 0                 7070              38.790            2040         
GPU 0     2                 0                 6804              38.862            2040         
GPU 0     43                26                4092              40.350            2025         
GPU 0     58                12                5874              38.244            2025         
GPU 0     2                 0                 7114              37.490            2040         
GPU 0     2                 0                 6546              37.580            2040         
GPU 0     46                27                4194              38.881            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     55                11                5946              37.840            2025         
GPU 0     2                 0                 7170              37.330            2025         
GPU 0     1                 0                 6298              37.456            2040         
GPU 0     49                27                4302              38.463            2025         
GPU 0     53                10                5986              37.502            2025         
GPU 0     2                 0                 7196              37.008            2025         
GPU 0     1                 0                 6130              37.833            1665         
GPU 0     50                28                4378              38.830            1320         
GPU 0     51                10                6046              38.092            2025         
GPU 0     2                 0                 7226              37.724            2040         
GPU 0     1                 0                 5880              40.688            1680         
GPU 0     49                9                 4468              41.721            1785         
GPU 0     49                9                 6088              39.764            2025         
GPU 0     2                 0                 7270              39.935            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     1                 0                 5762              43.718            1950         
GPU 0     54                29                4508              44.595            1920         
GPU 0     48                9                 6122              41.075            2025         
GPU 0     2                 0                 7308              40.616            2040         
GPU 0     1                 0                 5560              45.047            1965         
GPU 0     56                29                4624              48.159            1950         
GPU 0     45                9                 6214              43.856            2025         
GPU 0     2                 0                 7388              43.544            2040         
GPU 0     1                 0                 5158              48.083            2010         
GPU 0     61                30                4736              54.193            2025         
GPU 0     41                8                 6272              49.265            2025         
GPU 0     2                 0                 7430              46.655            2040         
GPU 0     1                 0                 4924              50.988            1800         
GPU 0     63                30                4818              56.924            1755         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     38                7                 6322              51.837            2025         
GPU 0     2                 0                 7458              46.225            2040         
GPU 0     1                 0                 4750              50.454            1950         
GPU 0     64                31                4860              54.064            1905         
GPU 0     37                7                 6352              49.237            2025         
GPU 0     2                 0                 7496              43.849            2040         
GPU 0     67                31                4592              47.492            1980         
GPU 0     35                6                 4914              49.968            1980         
GPU 0     35                6                 6398              45.182            2025         
GPU 0     1                 0                 7538              42.102            2040         
GPU 0     69                32                4324              45.289            1995         
GPU 0     32                6                 5014              46.662            1995         
GPU 0     2                 0                 6446              40.562            2025         
GPU 0     2                 0                 7572              40.598            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     1                 0                 4070              42.111            2025         
GPU 0     72                33                5048              39.524            2010         
GPU 0     30                5                 6500              38.949            2025         
GPU 0     2                 0                 7572              38.133            2040         
GPU 0     1                 0                 3966              39.406            1665         
GPU 0     73                33                5120              39.954            1815         
GPU 0     29                5                 6540              37.904            2025         
GPU 0     2                 0                 7572              37.886            2040         
GPU 0     2                 0                 3720              38.702            1980         
GPU 0     75                34                5166              39.124            1965         
GPU 0     26                4                 6536              37.330            2025         
GPU 0     2                 0                 7460              37.348            2040         
GPU 0     1                 0                 7572              37.502            2040         
GPU 0     20                11                3598              42.457            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     25                4                 5232              41.676            2025         
GPU 0     2                 0                 6640              41.712            2040         
GPU 0     12                4                 7572              44.676            2025         
GPU 0     72                31                5384              40.294            2025         
GPU 0     2                 0                 6742              39.558            2025         
GPU 0     2                 0                 7572              43.576            2040         
GPU 0     17                7                 3674              43.989            2025         
GPU 0     71                28                5464              42.981            2025         
GPU 0     16                2                 6782              41.921            2025         
GPU 0     2                 0                 7572              42.011            2040         
GPU 0     20                10                3674              47.052            2025         
GPU 0     70                26                5550              46.228            2025         
GPU 0     13                2                 6864              44.155            2025         
GPU 0     2                 0                 7572              44.308            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     26                14                3580              49.414            2025         
GPU 0     26                14                4096              51.201            1605         
GPU 0     5                 1                 5820              46.796            2025         
GPU 0     2                 0                 7058              46.823            2040         
GPU 0     2                 0                 6844              49.001            1710         
GPU 0     40                25                4064              45.001            1785         
GPU 0     61                12                5852              39.390            2025         
GPU 0     2                 0                 7098              39.194            2040         
GPU 0     2                 0                 6672              39.185            1845         
GPU 0     42                26                4088              40.979            2025         
GPU 0     59                12                5866              38.996            2025         
GPU 0     2                 0                 7106              38.116            2025         
GPU 0     2                 0                 6584              38.170            2040         
GPU 0     43                26                4198              39.762            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     58                12                5960              38.399            2025         
GPU 0     2                 0                 7210              37.672            2025         
GPU 0     2                 0                 6076              37.844            1665         
GPU 0     53                10                4402              38.868            1605         
GPU 0     53                10                6030              37.619            2025         
GPU 0     2                 0                 7238              37.107            2040         
GPU 0     50                28                5908              38.038            1740         
GPU 0     50                28                4468              38.762            1875         
GPU 0     2                 0                 6106              37.747            2025         
GPU 0     2                 0                 7294              37.945            2040         
GPU 0     1                 0                 5598              41.695            1935         
GPU 0     53                29                4584              41.096            1905         
GPU 0     48                9                 6200              40.631            2025         
GPU 0     2                 0                 7408              40.164            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     1                 0                 5062              44.896            2010         
GPU 0     59                30                4744              50.273            1995         
GPU 0     43                8                 6294              46.469            2025         
GPU 0     2                 0                 7472              46.110            2040         
GPU 0     1                 0                 4676              50.487            2010         
GPU 0     63                31                4874              56.192            2010         
GPU 0     38                7                 6354              50.948            2025         
GPU 0     2                 0                 7494              46.056            2040         
GPU 0     1                 0                 4578              50.375            1860         
GPU 0     64                31                4916              54.799            1785         
GPU 0     37                7                 6382              49.973            2025         
GPU 0     2                 0                 7522              44.799            2040         
GPU 0     1                 0                 4444              48.634            1950         
GPU 0     65                31                4954              51.771            1905         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 6424              46.863            2025         
GPU 0     2                 0                 7528              42.974            2040         
GPU 0     63                31                4652              47.271            1980         
GPU 0     38                7                 4902              53.088            1965         
GPU 0     38                7                 6374              46.161            2025         
GPU 0     1                 0                 7520              46.233            2040         
GPU 0     1                 0                 4404              50.572            2010         
GPU 0     65                31                4988              48.656            1995         
GPU 0     36                6                 6460              48.099            2025         
GPU 0     2                 0                 7572              42.829            2040         
GPU 0     1                 0                 4010              46.190            2025         
GPU 0     70                32                5110              42.875            2025         
GPU 0     32                5                 6540              42.344            2025         
GPU 0     2                 0                 7572              39.991            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     1                 0                 3664              41.059            2025         
GPU 0     74                33                5226              41.544            2025         
GPU 0     28                5                 6620              38.227            2025         
GPU 0     2                 0                 7572              37.689            2040         
GPU 0     4                 0                 3674              38.377            2010         
GPU 0     75                34                5310              38.709            1995         
GPU 0     25                4                 6684              37.130            2025         
GPU 0     2                 0                 7572              37.184            2040         
GPU 0     74                34                3674              37.758            2010         
GPU 0     74                34                5398              38.064            2025         
GPU 0     21                3                 6752              36.889            2025         
GPU 0     14                5                 7572              40.359            2040         
GPU 0     70                30                3674              41.257            2025         
GPU 0     70                30                5480              40.934            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 6822              40.082            2025         
GPU 0     2                 0                 7572              44.602            2040         
GPU 0     19                9                 3512              45.088            2025         
GPU 0     70                26                5544              44.791            2025         
GPU 0     13                2                 6846              43.884            2025         
GPU 0     2                 0                 7572              44.092            2040         
GPU 0     20                10                3526              49.208            2025         
GPU 0     69                26                5556              47.940            2025         
GPU 0     13                2                 6840              44.406            2025         
GPU 0     2                 0                 7572              44.478            2040         
GPU 0     20                10                3516              49.537            2025         
GPU 0     70                26                5558              47.932            2025         
GPU 0     14                2                 6860              44.096            2025         
GPU 0     2                 0                 7572              44.177            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     70                25                3588              53.833            2025         
GPU 0     11                2                 5628              48.772            2025         
GPU 0     11                2                 6940              45.728            2025         
GPU 0     2                 0                 7352              50.087            2040         
GPU 0     29                16                3810              56.448            2025         
GPU 0     69                21                5706              51.636            2025         
GPU 0     5                 1                 6980              46.766            2025         
GPU 0     2                 0                 7208              46.803            1665         
GPU 0     31                17                3892              51.675            1530         
GPU 0     70                20                5744              51.437            2025         
GPU 0     3                 0                 7006              45.049            2025         
GPU 0     2                 0                 7082              45.085            1680         
GPU 0     33                20                3932              49.451            2025         
GPU 0     68                18                5756              47.823            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     3                 0                 7020              43.118            2025         
GPU 0     2                 0                 6984              43.146            2040         
GPU 0     35                22                3980              47.240            2025         
GPU 0     67                16                5800              45.704            2025         
GPU 0     3                 0                 7054              42.415            2025         
GPU 0     37                24                6870              42.460            1830         
GPU 0     65                13                4032              44.638            2025         
GPU 0     2                 0                 5826              41.827            2025         
GPU 0     38                25                6760              41.890            2040         
GPU 0     63                13                4124              45.900            1860         
GPU 0     2                 0                 5904              42.849            2025         
GPU 0     2                 0                 7136              41.160            2025         
GPU 0     2                 0                 6434              42.597            1680         
GPU 0     41                26                4256              43.145            1530         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     60                12                5978              39.629            2025         
GPU 0     2                 0                 7186              38.058            2040         
GPU 0     2                 0                 6174              38.146            1890         
GPU 0     44                27                4378              39.555            1875         
GPU 0     57                11                6062              38.026            2025         
GPU 0     2                 0                 7266              37.461            2040         
GPU 0     1                 0                 5860              37.642            2040         
GPU 0     48                27                3146              38.701            2025         
GPU 0     52                14                3146              38.604            2025         
GPU 0     2                 0                 3766              38.246            2040         
GPU 0     49                5                 3766              45.973            1605         
GPU 0     100               9                 3766              52.716            1620         
GPU 0     100               9                 3766              58.949            1620         
GPU 0     100               9                 3766              67.459            1530         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     100               9                 3766              73.251            1545         
GPU 0     100               9                 3766              71.922            1590         
